"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,334050,0,0,0,0,0,0,0,0,0,0,0,0,0,18215550,0,0,0,2888550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40282500,0,0,0,0,4755300,0,0,0,22047300,0,0,887210550,0,0,42954900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032155550,15189450,0,37413600,0,0,1316550,0,49478700,0,0,0,0,0,11180850,0,159970650,0,589500,0,0,0,766350,0,0,0,0,0,0,0,0,0,0,0,0,0,109489800,0,0,19650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39300,0,0,0,0,0,0,0,0,10417465350,0,0,0,0,25564650,0,0,0,0,0,0,0,0,0,0,33837300,0,0,19650,0,151363950,0,0,0,0,0,0,0,0,0,6700650,0,0,95184600,390111450,86425650,0,0,53939250,0,268084950,0,0,0,0,21123750,0,157200,0,0,0,0
"AFG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275100,0,0,39300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39300,0,0,0,0,0,0,0,0,0,0,0,78600,0,0,19650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26100,1768500,0,0,0,0,0,0,0,0,0,0,2967150,825300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351250,0,0,0,144900,0,0,0,0,0,0,6543450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326602650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78560700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59696700,0,0,9608850,0,0,0,0,0,137550,3831750,0,0,0,0,0,0,0,0,0,0,0,0,0,1434450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884250,0,9108450,0,0,0,0,0,0,0,0,0,0,0,2338350,0,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,17488500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26899050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120011400,0,0,0,0,0,7060198200,0,0,0,0,0,0,0,0,0,0,0,0,275100,0,0,0,0,0,0,0,0,9549900,0,0,0,0,341693850,0,0,0,0,19650,0,0,0,136488900,0,0,0,0,0,2574150,0,0,0,0,0,34171350,0,0,0,430138500,6720300,0,0,0,1706400000,0,0,0,0,0,0,817500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14541000,47356500,0,0,0,0,0,0,0,195733650,0,0,0,32700,19650,0,0,0,0,0,0,0,0,203023800,0,123912900,6916800,0,0,0,0,0,24130200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528563700,0,6603952350,0,0,0,0,0,0,0,0,123480600,0,0,0,0,7025019900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4298869800,380070300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107465850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269283600,0,8206213350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,0,0,0,0,11986500,0,8383200,0,0,0,0,0,0,0,17805600,210667650,0,53212200,19650,0,222413550,0,0,18604800,0,2416950,5241354000,32442150,0,0,38219250,0,0,0,0,0,137550,0,0,0,0,129120150,0,0,78600,0,2260673550,0,26426250,895712100,0,0,0,0,36359250,0,0,19551750,1159350,0,0,0,0,0,0,0,7504777800,0,0,0,27981600,6746171850,0,0,432300,10394850,7329450,0,0,0,31477489950,7152450,0,156600,4696350,0,5322497250,245251650,0,0,25545000,0,0,0,0,1100400,0,0,26580994800,6818550,0,0,0,569850,0,235800,0,0,0,0,0,510900,0,544217100,0,87414600,90419294300,0,0,0,0,7237350450,0,0,802200300,0,176850,9503447400,0,0,0,42535500,0,45037800,0,19060500,0,353700,0,0,0,0,112354950,0,0,0,0,0,10013100900,0,55740000,0,0,0,0,4244400,0,0,0,1296349800,0,5214090300,0,3458400,33444300,0,0,14560650,657980250,0,0,3297635850,0,696842700,0,0,0,0,1681411200,0,0,0,0,0,0,0,0,0,0,0
"AUT",21163050,0,32009850,58950,0,73333800,170129700,0,19650,353700,0,0,0,19650,0,0,647447850,0,0,0,0,5032988700,0,0,0,126585300,0,0,0,0,253367100,392276100,19650,0,0,0,0,0,81307950,57554850,0,371160550,0,19650,156292650,0,19650,0,0,88096800,0,39300,458433350,16627453450,0,0,28040550,0,0,141127445000,373253850,19650,0,4358389800,0,0,19650,0,58950,0,0,764400,21803617200,32380131700,83198100,39300,19650,64137600,1788150,314867850,1167760200,15905072050,0,2868900,0,39527100,4205100,18824700,19650,39300,0,15818250,10276950,29366550,0,10001850,0,0,82431750,3268052150,0,2692050,0,5167950,24090900,0,53912250,0,0,53448000,1552350,5344800,0,13853250,628800,0,8978671350,0,0,79837950,0,1532700,0,0,766350,1462320000,78600,0,31460030550,0,37452900,78600,15484200,34309363600,3649735050,0,0,0,628800,0,17758494750,0,19551750000,0,0,0,0,27765450,0,19650,19650,6850777850,10085963400,4716000,0,74512800,28189768200,0,0,0,8160449250,5822641700,0,6248700,6759600,0,19650,0,0,0,0,78600,1621989600,24287400,19650,0,19350716450,14045210850,12584822850,0,320279850,5580600,19650,0,0,0,98100,39300,9871141850,68474100,1458056050,105029250,0,0,491250
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,78600,0,0,0,0,0,19650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334050,0,0,0,0,0,157200,0,0,0,98250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2790300,0,0,0,0,157200,0,0,0,0,0,0,19650,0,334050,0,0,0,0,0,0,0,0,530550,0,0,0,0,196500,5443050,0,0,0,0,294750,0,0,0,0,0,0,98250,0,0,0,0,0,0,0,0,0,0,0,0,0,899066100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2318700,0,0,0,0,22297650,0,0,68146200,0,39300,0,0,1224300,0,0,0,0,0,0,0,0,746700,39300,0,0,0,0,0,0
