"iso3","P0"
"ARM",0
"AFG",0
"ALB",0
"DZA",142048000
"ATG",16016000
"ARG",105850638000
"AUS",205725580000
"AUT",0
"BHS",6102922000
"BHR",0
"BRB",607608000
"BGD",495473600000
"BMU",0
"BTN",2015436000
"BOL",180657520000
"BWA",0
"BRA",4056111200000
"ARB",0
"BLZ",5.5541e+10
"SLB",190788000
"BRN",1004818000
"BGR",0
"MMR",0
"BDI",747882638000
"CMR",680585374000
"CAN",0
"CPV",3422800000
"CAF",84174968000
"LKA",0
"TCD",0
"CHL",0
"CHN",6.97858e+12
"COL",1545558934000
"COM",28077698000
"COG",51610370000
"COK",7510000
"CRI",1485867060000
"CUB",157686080000
"CYP",3.324e+09
"AZE",0
"BEN",12064320000
"DNK",0
"DMA",12733596000
"DOM",741112880000
"BLR",0
"ECU",3858356684000
"EGY",792481850000
"SLV",6368830000
"GNQ",18232042000
"EST",0
"FRO",0
"FJI",4286998000
"FIN",0
"FRA",1.27442e+11
"PYF",124290000
"DJI",0
"GEO",0
"GAB",11043978000
"GMB",0
"DEU",0
"BIH",0
"GHA",64643508000
"KIR",4389796000
"GRC",2.96e+09
"GRL",0
"GRD",1.898e+09
"GTM",2447853766000
"GIN",135028310000
"GUY",10392810000
"HTI",159450556000
"HND",316570530000
"HKG",0
"HUN",0
"HRV",0
"ISL",0
"IND",1.92238e+13
"IDN",4840912350000
"IRN",78159956000
"IRQ",0
"IRL",0
"ISR",88807584000
"ITA",0
"CIV",348944110000
"KAZ",0
"JAM",38128400000
"JPN",10956000
"JOR",20827514000
"KGZ",0
"KEN",1111536648000
"KHM",166210340000
"PRK",0
"KOR",0
"KWT",0
"LVA",0
"LAO",529625754000
"LBN",50044848000
"LSO",0
"LBR",83871106000
"LBY",0
"LTU",0
"MAC",0
"MDG",229681990000
"MWI",251657478000
"MYS",193980086000
"MDV",123824000
"MLI",179578200000
"MLT",0
"MRT",0
"MUS",4969400000
"MEX",1453910534000
"MNG",0
"MAR",2.05404e+11
"MOZ",454657992000
"MDA",0
"NAM",0
"NPL",170277800000
"NLD",0
"ANT",0
"NCL",1314600000
"MKD",0
"VUT",10131662000
"NZL",0
"NIC",61051200000
"NER",0
"NGA",0
"NOR",0
"PAK",85711200000
"PAN",221869908000
"CZE",0
"PNG",766628294000
"PRY",56390400000
"PER",1391260352000
"PHL",3589425286000
"POL",0
"PRT",1.5678e+10
"GNB",4989530000
"TLS",469368000
"ERI",0
"QAT",0
"ZWE",103102742000
"ROU",0
"RWA",1205314200000
"RUS",0
"KNA",0
"LCA",6368400000
"VCT",36598278000
"STP",3071398000
"SAU",0
"SEN",20684400000
"SYC",1194128000
"SLE",0
"SVN",0
"SVK",0
"SGP",0
"SOM",14166288000
"ZAF",218131600000
"ESP",2.45594e+11
"SUR",7801200000
"TJK",0
"SWZ",9052452000
"SWE",0
"CHE",0
"SYR",81600000
"TKM",0
"TWN",207874600000
"TZA",2087228220000
"THA",800047504000
"TGO",14591932000
"TON",492702000
"TTO",2051894000
"OMN",11062200000
"TUN",0
"TUR",431982200000
"ARE",388680000
"UGA",0
"TUV",172648000
"GBR",0
"UKR",0
"USA",1856528000
"BFA",25606682000
"URY",0
"UZB",0
"VEN",313950632000
"VNM",1361729008000
"ETH",457502888000
"YEM",69907564000
"COD",483524200000
"ZMB",418758000
"BEL",0
"LUX",0
"SRB",0
"MNE",0
"SDN",555359430000
"SSD",0
"PSE",1888526000
