"reporter","partner","percentage"
"ARM","ARG",0.781985083293293
"ARM","AUS",0.39199240633527
"ARM","BRA",0.000636277529123917
"ARM","BGR",0.0248148236358327
"ARM","MMR",0
"ARM","CAN",0.0586170673705408
"ARM","CHN",0.718266433591027
"ARM","CYP",0.620370590895819
"ARM","BLR",0.133300142351461
"ARM","FRA",1.78851250661442
"ARM","GEO",6.29941406069994
"ARM","DEU",0.636508902770871
"ARM","GRC",0.395526019041655
"ARM","HUN",0
"ARM","IRQ",2.0246350976723
"ARM","ISR",0.000318138764561958
"ARM","JPN",0
"ARM","JOR",0.000636277529123917
"ARM","LVA",0.243270108635044
"ARM","LBN",1.43957790964286
"ARM","LTU",0.467663983906079
"ARM","NLD",0.111666706361247
"ARM","NOR",0
"ARM","CZE",0.0660137936466063
"ARM","POL",1.41068512547946
"ARM","RUS",72.6382453372574
"ARM","SGP",0.0874881602545385
"ARM","ESP",0.0715016873353001
"ARM","SWE",0.270417949877664
"ARM","CHE",0.0038176651747435
"ARM","SYR",0.831402638055251
"ARM","ARE",0.0365859579246252
"ARM","GBR",0.302549965098422
"ARM","UKR",0.867060691249904
"ARM","USA",5.46568148130681
"ARM","URY",1.00905662649939
"ARM","BEL",0.801780384199371
"AFG","DOM",0.0762986619278909
"AFG","MOZ",0.673858978796771
"AFG","PAK",98.5030607655386
"AFG","USA",0.724837288314964
"AFG","UZB",0.0216067007229426
"AFG","BEL",0.000337604698795978
"ALB","BLZ",0.535981181783064
"ALB","CHN",1.27048154743424
"ALB","DNK",0.0412293216756203
"ALB","FRA",0.0210269540545664
"ALB","DEU",0.123687965026861
"ALB","GRC",2.13566356434753
"ALB","HRV",0.40074900668703
"ALB","IRQ",12.9039530980357
"ALB","ISR",0
"ALB","ITA",1.04619403751887
"ALB","MKD",0.387555623750831
"ALB","POL",0.470014267102072
"ALB","SEN",56.8311617153102
"ALB","SLE",1.41210426739
"ALB","SVN",0.508357536260399
"ALB","SVK",1.48425558032233
"ALB","SWE",0.123687965026861
"ALB","CHE",0.153647938777812
"ALB","GBR",0.28382265041497
"ALB","USA",0.718568177775097
"ALB","BEL",0.103073304189051
"ALB","LUX",0.0824586433512406
"ALB","SRB",13.7664705074896
"ALB","MNE",1.66051093048561
"DZA","CAN",5.33773717206469
"DZA","CHN",0.000598252176962856
"DZA","EGY",0
"DZA","FRA",2.91567151876789
"DZA","ITA",0.119650435392571
"DZA","MLI",0
"DZA","MRT",8.10692745925176
"DZA","NLD",0.0158719965316676
"DZA","NER",80.7103232863399
"DZA","SAU",0
"DZA","SEN",0.224039335658539
"DZA","CHE",0.000598252176962856
"DZA","SYR",1.79475653088857
"DZA","TGO",0.546717025147341
"DZA","ARE",0
"DZA","GBR",0.210596975519026
"DZA","USA",0.00119650435392571
"DZA","BEL",0.0153152557302491
"ATG","BRB",0.131322426929115
"ATG","DMA",0.00169996669163902
"ATG","DOM",0
"ATG","DEU",0
"ATG","IRL",0
"ATG","JAM",0
"ATG","KEN",0.000424991672909756
"ATG","MDV",0.0169996669163902
"ATG","NLD",0.892482513110487
"ATG","LCA",0.00254995003745853
"ATG","VCT",3.93240747403655
"ATG","SEN",8.59437242216892
"ATG","TTO",0.083581695672252
"ATG","USA",0.000283327781939837
"ARG","DZA",1.96426412157801
"ARG","AUS",0.000557959927631184
"ARG","BOL",0.916358001873685
"ARG","BRA",21.6918395249804
"ARG","CMR",0.0585996549273696
"ARG","CAN",0.0021790506779412
"ARG","LKA",0.0347851376340148
"ARG","CHL",2.16037396478365
"ARG","CHN",6.18364911724013
"ARG","COL",4.79677940148232
"ARG","COG",4.5364512202091e-05
"ARG","CRI",0.00064341185571798
"ARG","CUB",0.0006982727911675
"ARG","CYP",4.5364512202091e-05
"ARG","DNK",0.000244236978857829
"ARG","DMA",0.00117540376921989
"ARG","DOM",0.337768951487118
"ARG","ECU",0.758624069840217
"ARG","EGY",0.147536503357658
"ARG","SLV",0.126994958469153
"ARG","EST",0.338104486861298
"ARG","FIN",6.35103170829274e-05
"ARG","FRA",0.000523878314328329
"ARG","GEO",0.00138593213809245
"ARG","DEU",0.32559952336249
"ARG","GRC",0.000226822561010455
"ARG","GTM",0.00552070683393256
"ARG","HND",0.0318026811083177
"ARG","HKG",0.000126635035812137
"ARG","HUN",0.000190530951248782
"ARG","HRV",9.41767273315409e-05
"ARG","IND",2.37932923953534
"ARG","IDN",0.0113906278311841
"ARG","IRN",1.40993522891787
"ARG","ISR",0.0101292693087987
"ARG","ITA",0.000355645225844691
"ARG","JPN",0.123896029329882
"ARG","JOR",2.93028572311645
"ARG","KEN",0.291307752202541
"ARG","KHM",0.170160989141123
"ARG","KOR",0.00764324023514346
"ARG","KWT",3.76356057514241
"ARG","LVA",1.93036146257728
"ARG","LBY",2.44053039647945
"ARG","LTU",0.236673140802909
"ARG","MEX",0.001041952368272
"ARG","MAR",2.40624357174424
"ARG","NLD",0.284359070923045
"ARG","NZL",0.000108439329967878
"ARG","NIC",0.000161180111854029
"ARG","PAN",0.000350911949772482
"ARG","PRY",0.432724296613624
"ARG","PER",1.89108195592764
"ARG","PHL",0.00485002368983915
"ARG","PRT",9.98019268446001e-05
"ARG","QAT",1.88438539971845
"ARG","ROU",0.000944563208557252
"ARG","RUS",1.63659476865212
"ARG","VCT",0.0059110885205696
"ARG","STP",0.00153313535115638
"ARG","SAU",22.188739227618
"ARG","SVN",8.90618785807551e-05
"ARG","ZAF",0.631394031755191
"ARG","ESP",0.00239390742538988
"ARG","SWE",3.81515547619585e-05
"ARG","CHE",7.96374011707707e-05
"ARG","SYR",0.822054954645948
"ARG","TWN",0.0398133379445592
"ARG","THA",0.00534893889181226
"ARG","OMN",1.14790784820181
"ARG","TUN",2.42605948053211
"ARG","ARE",3.03350639175245
"ARG","GBR",0.00105744929968142
"ARG","UKR",0.46105157299268
"ARG","USA",0.148680217839459
"ARG","URY",1.2442800691216
"ARG","VEN",0.517153984044823
"ARG","VNM",0.756045652863214
"ARG","YEM",0
"ARG","BEL",2.40753176641552
"AUS","AFG",0.00141908148364742
"AUS","ARG",0.0129519422640184
"AUS","BHS",0.000262831975062889
"AUS","BHR",0.00423884043281547
"AUS","BRB",0.0182457321255589
"AUS","BGD",0.00973307551657303
"AUS","BRA",0.458463597002815
"AUS","SLB",0.018848889722234
"AUS","BRN",0.000699437695686213
"AUS","MMR",0.128063367984917
"AUS","CAN",0.00497902801093158
"AUS","LKA",0.0413043973872087
"AUS","CHL",0.0582425933534619
"AUS","CHN",28.6109379506251
"AUS","COL",0.417384987044089
"AUS","COG",0.00603902580052416
"AUS","COK",0.000525835707950096
"AUS","CRI",0.000388089396516074
"AUS","CUB",0.000429410400739965
"AUS","CYP",0.000188930966757793
"AUS","AZE",5.54952539958858e-05
"AUS","BEN",0.0260112810576746
"AUS","DNK",2.64016011094341e-05
"AUS","DOM",0.000949189176991152
"AUS","ECU",0.358879164471562
"AUS","EGY",0.011172187993928
"AUS","SLV",0.00411073478392049
"AUS","FJI",0.0592729065086821
"AUS","FIN",0.00130410183694188
"AUS","FRA",0.00208579326433577
"AUS","PYF",0.0108730883957381
"AUS","DJI",0.131603030904529
"AUS","GAB",0.0320926177851847
"AUS","DEU",0.017661403251261
"AUS","GHA",0.00073353649039687
"AUS","KIR",0.000804363086635082
"AUS","GRC",0
"AUS","GTM",0.00545062690246787
"AUS","GIN",0.000153032367079564
"AUS","GUY",0.000201946211134441
"AUS","HND",2.41831637449975e-05
"AUS","HKG",0.0427146100153248
"AUS","HUN",5.03815911354114e-07
"AUS","ISL",1.51350692716052e-06
"AUS","IND",0.0525615154425328
"AUS","IDN",0.459290675997884
"AUS","IRN",2.19950437493671
"AUS","IRQ",0.494104646879477
"AUS","IRL",4.53434320218703e-06
"AUS","ISR",0.00104187311514127
"AUS","ITA",0.00198266430988005
"AUS","CIV",0.0252981040096387
"AUS","JAM",0.000100919909745517
"AUS","JPN",15.3052172739485
"AUS","JOR",1.03087637861157
"AUS","KEN",0.0161833457908841
"AUS","KHM",0.325718396582509
"AUS","KOR",3.15817757316362
"AUS","KWT",2.2880776983927
"AUS","LVA",0.000777891767130753
"AUS","LAO",0.00991746154672414
"AUS","LBN",0.000164003845963468
"AUS","LBR",6.39846207419725e-05
"AUS","LBY",0.000182307228958655
"AUS","LTU",0.000460235835021983
"AUS","MAC",0.000435590398769248
"AUS","MDG",0.0288737030356602
"AUS","MWI",0.0153585237546501
"AUS","MYS",0.323908901021018
"AUS","MDV",7.88852279994269e-05
"AUS","MLT",0.000403052729083292
"AUS","MUS",0.0773446760149136
"AUS","MEX",1.22203357855287
"AUS","MNG",0.0156283090691503
"AUS","MOZ",0.00596122673968421
"AUS","NPL",0.0190123035167656
"AUS","NLD",0.00180868868851624
"AUS","NCL",0.0226288203355091
"AUS","VUT",0.00514810910502043
"AUS","NZL",0.385857166333067
"AUS","NER",0.000944654833788964
"AUS","NGA",0.135770288411162
"AUS","NOR",0.000212824585073263
"AUS","PAK",0.0223778087201421
"AUS","PAN",9.34516739768937e-05
"AUS","CZE",0.000143591653122119
"AUS","PNG",0.19823687429747
"AUS","PRY",0.0003030452706795
"AUS","PER",0.442957407627098
"AUS","PHL",2.10018811531728
"AUS","POL",0.000906333336031592
"AUS","PRT",5.81859329775045e-06
"AUS","TLS",0.000904021508540172
"AUS","QAT",1.0107136096608
"AUS","ROU",0.000170037870082014
"AUS","RUS",0.0119840535545027
"AUS","SAU",19.1087505639618
"AUS","SEN",0.00200896594652453
"AUS","SYC",0.000912813668191384
"AUS","SLE",0.00240512243792203
"AUS","SVN",0.000755723867031172
"AUS","SVK",2.51907955677057e-06
"AUS","SGP",0.606051518027395
"AUS","SOM",0.000642365286976496
"AUS","ZAF",0.418981245828289
"AUS","ESP",0.416382867556505
"AUS","SWE",0.00149514049940185
"AUS","CHE",0.00138549799940959
"AUS","SYR",1.44022710877337
"AUS","TWN",1.0772442241155
"AUS","TZA",0.0861804263400224
"AUS","THA",5.19422426505169
"AUS","TGO",0.0060117456103595
"AUS","TON",0.000331303390366418
"AUS","TTO",3.68266093678078e-05
"AUS","OMN",0.576389933413287
"AUS","TUR",0.000876057326336632
"AUS","ARE",3.11103865208691
"AUS","UGA",0.00872749549674775
"AUS","TUV",0.000206037860506124
"AUS","GBR",0.00599465936202769
"AUS","USA",0.00942788331244944
"AUS","BFA",0.0407939880702966
"AUS","URY",0.0902184675406708
"AUS","VNM",5.12258141688189
"AUS","ETH",0.368461736241541
"AUS","YEM",0.0823531379759911
"AUS","COD",0.251007997688657
"AUS","BEL",0.00010539310635265
"AUS","SDN",1.76816047363515e-05
"AUT","ARM",0.00487031138197691
