"iso3","R0"
"ARM",7.636e+10
"AFG",17706666666.6667
"ALB",0
"DZA",1.27488e+12
"ATG",0
"ARG",1876906666666.67
"AUS",8938546666666.67
"AUT",224594277484.462
"BHS",0
"BHR",0
"BRB",0
"BGD",0
"BMU",0
"BTN",0
"BOL",0
"BWA",0
"BRA",407253333333.333
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",170455989841.232
"MMR",0
"BDI",0
"CMR",0
"CAN",2.44684e+12
"CPV",0
"CAF",0
"LKA",0
"TCD",0
"CHL",177066666666.667
"CHN",2123693333333.33
"COL",9.296e+10
"COM",0
"COG",0
"COK",0
"CRI",0
"CUB",0
"CYP",8954510750.13429
"AZE",340853333333.333
"BEN",0
"DNK",1036722745126.94
"DMA",0
"DOM",0
"BLR",283306666666.667
"ECU",0
"EGY",0
"SLV",0
"GNQ",0
"EST",136009629969.874
"FRO",0
"FJI",0
"FIN",380657153447.773
"FRA",3252194671844.87
"PYF",0
"DJI",0
"GEO",0
"GAB",0
"GMB",0
"DEU",3027453395735.56
"BIH",9.628e+10
"GHA",0
"KIR",0
"GRC",101141336380.411
"GRL",0
"GRD",0
"GTM",0
"GIN",0
"GUY",0
"HTI",0
"HND",0
"HKG",0
"HUN",425138031057.068
"HRV",84527636079.2523
"ISL",0
"IND",500213333333.333
"IDN",0
"IRN",1.93224e+12
"IRQ",721546666666.667
"IRL",401555656398.588
"ISR",107346666666.667
"ITA",306994871460.48
"CIV",0
"KAZ",1575893333333.33
"JAM",0
"JPN",7.7356e+11
"JOR",417213333333.333
"KGZ",7.304e+10
"KEN",0
"KHM",0
"PRK",0
"KOR",67506666666.6667
"KWT",0
"LVA",76203797106.1587
"LAO",0
"LBN",6.64e+09
"LSO",0
"LBR",0
"LBY",161573333333.333
"LTU",164971854173.722
"MAC",0
"MDG",0
"MWI",0
"MYS",0
"MDV",0
"MLI",0
"MLT",0
"MRT",0
"MUS",0
"MEX",1463013333333.33
"MNG",0
"MAR",875373333333.333
"MOZ",0
"MDA",52013333333.3333
"NAM",0
"NPL",0
"NLD",63075012782.8665
"ANT",0
"NCL",0
"MKD",0
"VUT",0
"NZL",1.5272e+11
"NIC",0
"NER",0
"NGA",0
"NOR",2.1912e+11
"PAK",25453333333.3333
"PAN",0
"CZE",488475921789.102
"PNG",0
"PRY",0
"PER",80786666666.6667
"PHL",0
"POL",852331989953.882
"PRT",16861680631.7425
"GNB",0
"TLS",0
"ERI",0
"QAT",0
"ZWE",1.328e+10
"ROU",466405420661.006
"RWA",0
"RUS",2447946666666.67
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",3.32664e+12
"SEN",0
"SYC",0
"SLE",0
"SVN",31819720686.9465
"SVK",172748651907.26
"SGP",0
"SOM",0
"ZAF",991573333333.333
"ESP",2628637697364.1
"SUR",0
"TJK",0
"SWZ",0
"SWE",378255719087.852
"CHE",54226666666.6667
"SYR",1163106666666.67
"TKM",0
"TWN",0
"TZA",0
"THA",0
"TGO",0
"TON",0
"TTO",0
"OMN",0
"TUN",8.1672e+11
"TUR",1775093333333.33
"ARE",0
"UGA",0
"TUV",0
"GBR",2132071176820.22
"UKR",2760026666666.67
"USA",4670133333333.33
"BFA",0
"URY",480293333333.333
"UZB",58653333333.3333
"VEN",0
"VNM",2.656e+10
"ETH",354133333333.333
"YEM",0
"COD",0
"ZMB",0
"BEL",95003854611.1852
"LUX",9044263513.9917
"SRB",94066666666.6667
"MNE",0
"SDN",0
"SSD",0
"PSE",0
