"iso3","P0"
"ARM",20440096000
"AFG",755250440000
"ALB",1426784869333.33
"DZA",33321600000
"ATG",54800266.6666667
"ARG",208595019733333
"AUS",1126335355066.67
"AUT",8479575866666.67
"BHS",2366130266.66667
"BHR",0
"BRB",543596800
"BGD",13885263800000
"BMU",0
"BTN",140191150533.333
"BOL",3772911252533.33
"BWA",162170246400
"BRA",348348340106667
"ARB",0
"BLZ",296822120000
"SLB",0
"BRN",22652000
"BGR",12461412133333.3
"MMR",7545119773333.33
"BDI",962164760000
"CMR",7477018361733.33
"CAN",48704140466666.7
"CPV",1804920000
"CAF",357427560000
"LKA",1224178861333.33
"TCD",1408108314266.67
"CHL",2883841564000
"CHN",942332957871200
"COL",5298790614800
"COM",22395164933.3333
"COG",47466666666.6667
"COK",0
"CRI",40029470666.6667
"CUB",952819048000
"CYP",0
"AZE",1041098622666.67
"BEN",5720343291866.67
"DNK",148131600000
"DMA",686332400
"DOM",184759277066.667
"BLR",3938741280000
"ECU",5321041220000
"EGY",26921093800000
"SLV",2931639626533.33
"GNQ",0
"EST",0
"FRO",0
"FJI",5389484000
"FIN",0
"FRA",49640693813333.3
"PYF",0
"DJI",60306400
"GEO",8.24852e+11
"GAB",160320304266.667
"GMB",59333333333.3333
"DEU",14414677333333.3
"BIH",4219102542666.67
"GHA",1.119264e+13
"KIR",0
"GRC",4431737200000
"GRL",0
"GRD",1355671733.33333
"GTM",6866601573333.33
"GIN",2973329960800
"GUY",1.424e+10
"HTI",681855106666.667
"HND",2289567340266.67
"HKG",0
"HUN",27502477760000
"HRV",8692793600000
"ISL",0
"IND",104582072533333
"IDN",76713506047466.7
"IRN",2560884409866.67
"IRQ",1503280013333.33
"IRL",0
"ISR",302822746666.667
"ITA",22727289200000
"CIV",4162400829600
"KAZ",3541007677600
"JAM",7384072533.33333
"JPN",130527927600
"JOR",89877735466.6667
"KGZ",2512187336000
"KEN",1.266648e+13
"KHM",3.2218e+12
"PRK",8402421529333.33
"KOR",292041040000
"KWT",69789563600
"LVA",0
"LAO",2999448333333.33
"LBN",1.068e+10
"LSO",161864893333.333
"LBR",13571794133.3333
"LBY",12271830266.6667
"LTU",408616800000
"MAC",0
"MDG",802339746666.667
"MWI",13842217466666.7
"MYS",241396349466.667
"MDV",511975466.666667
"MLI",12977862520000
"MLT",0
"MRT",52488640000
"MUS",3267160000
"MEX",98060134572933.3
"MNG",0
"MAR",141232201333.333
"MOZ",6151688306666.67
"MDA",6775717753866.67
"NAM",238364546666.667
"NPL",10070824666666.7
"NLD",576138533333.333
"ANT",0
"NCL",31244933333.3333
"MKD",512431096000
"VUT",3264448800
"NZL",721851154400
"NIC",1361130400000
"NER",107011452133.333
"NGA",45224636592266.7
"NOR",107706666.666667
"PAK",32583041213333.3
"PAN",464704600000
"CZE",2888109333333.33
"PNG",182813885066.667
"PRY",18392842053333.3
"PER",5704663266133.33
"PHL",28951951846266.7
"POL",20981251600000
"PRT",2598455866666.67
"GNB",47607880000
"TLS",248433413333.333
"ERI",7.12e+10
"QAT",5770544266.66667
"ZWE",4091567303200
"ROU",50254858666666.7
"RWA",1605005553733.33
"RUS",51503026944000
"KNA",0
"LCA",0
"VCT",3025738933.33333
"STP",2649435066.66667
"SAU",196792053333.333
"SEN",2429354490133.33
"SYC",0
"SLE",104163998000
"SVN",1399127466666.67
"SVK",5537698666666.67
"SGP",0
"SOM",2.4564e+11
"ZAF",53080700613333.3
"ESP",15422181066666.7
"SUR",245640000
"TJK",777146220000
"SWZ",3.3464e+11
"SWE",4.5924e+10
"CHE",584720456533.333
"SYR",892536796666.667
"TKM",42045593600
"TWN",706496631600
"TZA",23052332292266.7
"THA",17580442292266.7
"TGO",3234955386666.67
"TON",0
"TTO",18422272000
"OMN",60776320000
"TUN",0
"TUR",22843333333333.3
"ARE",90324058933.3333
"UGA",12009066666666.7
"TUV",0
"GBR",0
"UKR",128527415200000
"USA",1293045422640000
"BFA",6578878291200
"URY",2787707852266.67
"UZB",1764134266666.67
"VEN",4985196005733.33
"VNM",16300811530266.7
"ETH",36050957517600
"YEM",146304133333.333
"COD",7794609320000
"ZMB",10694362024933.3
"BEL",1542809066666.67
"LUX",2112266666.66667
"SRB",25241132163066.7
"MNE",9379448933.33333
"SDN",73515127333.3333
"SSD",624049013333.333
"PSE",5503474666.66667
