"iso3","R0"
"ARM",0
"AFG",0
"ALB",0
"DZA",0
"ATG",0
"ARG",4.176e+11
"AUS",4.5e+11
"AUT",0
"BHS",0
"BHR",0
"BRB",0
"BGD",6.1596e+12
"BMU",0
"BTN",0
"BOL",0
"BWA",0
"BRA",3.4344e+12
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",70469749137.6746
"MMR",3.8748e+12
"BDI",0
"CMR",0
"CAN",0
"CPV",0
"CAF",0
"LKA",1.7916e+12
"TCD",0
"CHL",2.316e+11
"CHN",4.152e+14
"COL",1.7268e+12
"COM",0
"COG",0
"COK",0
"CRI",1.716e+11
"CUB",0
"CYP",0
"AZE",1.32e+10
"BEN",0
"DNK",0
"DMA",0
"DOM",9.588e+11
"BLR",0
"ECU",5.124e+11
"EGY",3.6048e+12
"SLV",1.08e+11
"GNQ",0
"EST",0
"FRO",0
"FJI",0
"FIN",0
"FRA",79737956890.6968
"PYF",0
"DJI",0
"GEO",0
"GAB",0
"GMB",1.452e+11
"DEU",0
"BIH",0
"GHA",1.2324e+12
"KIR",0
"GRC",268493046474.41
"GRL",0
"GRD",0
"GTM",0
"GIN",9.9e+11
"GUY",1.824e+11
"HTI",2.352e+11
"HND",1.224e+11
"HKG",0
"HUN",11593223775.2829
"HRV",0
"ISL",0
"IND",1.2588e+14
"IDN",1.10196e+13
"IRN",1.4028e+12
"IRQ",1.2528e+12
"IRL",0
"ISR",8.04e+10
"ITA",1616795158980.05
"CIV",0
"KAZ",0
"JAM",0
"JPN",7.0752e+12
"JOR",5.76e+10
"KGZ",0
"KEN",2.148e+11
"KHM",1.1652e+12
"PRK",0
"KOR",4.1856e+12
"KWT",0
"LVA",0
"LAO",3.048e+11
"LBN",0
"LSO",0
"LBR",2.064e+11
"LBY",0
"LTU",0
"MAC",0
"MDG",0
"MWI",0
"MYS",1.4124e+12
"MDV",0
"MLI",5.604e+11
"MLT",0
"MRT",8.52e+10
"MUS",0
"MEX",7.044e+11
"MNG",0
"MAR",0
"MOZ",0
"MDA",0
"NAM",0
"NPL",0
"NLD",0
"ANT",0
"NCL",0
"MKD",0
"VUT",0
"NZL",0
"NIC",4.092e+11
"NER",0
"NGA",6.2724e+12
"NOR",0
"PAK",6.576e+12
"PAN",2.328e+11
"CZE",0
"PNG",0
"PRY",4.368e+11
"PER",1.3824e+12
"PHL",1.42356e+13
"POL",0
"PRT",173722704189.912
"GNB",4.68e+10
"TLS",0
"ERI",0
"QAT",0
"ZWE",0
"ROU",28562447909.1524
"RWA",0
"RUS",5.64e+11
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",1.4988e+12
"SEN",1.242e+12
"SYC",0
"SLE",0
"SVN",0
"SVK",0
"SGP",0
"SOM",0
"ZAF",1.2e+11
"ESP",769825712642.824
"SUR",0
"TJK",0
"SWZ",0
"SWE",0
"CHE",6.36e+10
"SYR",2.064e+11
"TKM",2.16e+10
"TWN",2.2908e+12
"TZA",0
"THA",1.36572e+13
"TGO",0
"TON",0
"TTO",0
"OMN",2.52e+11
"TUN",0
"TUR",7.656e+11
"ARE",7.2e+11
"UGA",0
"TUV",0
"GBR",0
"UKR",0
"USA",4.2696e+12
"BFA",0
"URY",2.004e+11
"UZB",3.612e+11
"VEN",6.432e+11
"VNM",7.3524e+12
"ETH",0
"YEM",0
"COD",0
"ZMB",0
"BEL",0
"LUX",0
"SRB",0
"MNE",0
"SDN",0
"SSD",0
"PSE",0
