"iso3","P0"
"ARM",380283716000
"AFG",15558833333333.3
"ALB",770225042000
"DZA",10189244480000
"ATG",0
"ARG",63327453213333.3
"AUS",71253703995400
"AUT",5340904933333.33
"BHS",0
"BHR",0
"BRB",0
"BGD",3486045953333.33
"BMU",0
"BTN",4576601600
"BOL",984920910000
"BWA",2989411333.33333
"BRA",22058837393333.3
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",20608423466666.7
"MMR",351946933333.333
"BDI",24866578333.3333
"CMR",1746619600
"CAN",100648784666667
"CPV",0
"CAF",0
"LKA",0
"TCD",5530516733.33333
"CHL",4436093299866.67
"CHN",450668760666667
"COL",21091008933.3333
"COM",0
"COG",0
"COK",0
"CRI",0
"CUB",0
"CYP",97216266666.6667
"AZE",6423924426666.67
"BEN",0
"DNK",14205676866666.7
"DMA",0
"DOM",0
"BLR",8459163446666.67
"ECU",34088897266.6667
"EGY",29682125760000
"SLV",0
"GNQ",0
"EST",2698018600000
"FRO",0
"FJI",0
"FIN",2547262133333.33
"FRA",119470152266667
"PYF",0
"DJI",0
"GEO",377308666666.667
"GAB",0
"GMB",0
"DEU",7.4252542e+13
"BIH",1003063233333.33
"GHA",0
"KIR",0
"GRC",3487772733333.33
"GRL",0
"GRD",0
"GTM",527742266.666667
"GIN",0
"GUY",0
"HTI",0
"HND",4194672600
"HKG",0
"HUN",17578787400000
"HRV",2958939400000
"ISL",0
"IND",357432037200000
"IDN",0
"IRN",38977536373800
"IRQ",16494677953333.3
"IRL",1768374133333.33
"ISR",391270980000
"ITA",23101911600000
"CIV",0
"KAZ",41776411406266.7
"JAM",0
"JPN",3432740666666.67
"JOR",91415800000
"KGZ",1773516286000
"KEN",1131369333333.33
"KHM",0
"PRK",292922063666.667
"KOR",69036686666.6667
"KWT",173824733.333333
"LVA",8281307333333.33
"LAO",0
"LBN",378533333333.333
"LSO",10505413333.3333
"LBR",0
"LBY",445333333333.333
"LTU",14374747666666.7
"MAC",0
"MDG",8906666666.66667
"MWI",2519473333.33333
"MYS",0
"MDV",0
"MLI",73869666666.6667
"MLT",0
"MRT",24057396533.3333
"MUS",0
"MEX",10592659700000
"MNG",1540649526533.33
"MAR",15732566684266.7
"MOZ",5.344e+10
"MDA",3654424260000
"NAM",40566526666.6667
"NPL",7034296066666.67
"NLD",3350699133333.33
"ANT",0
"NCL",275104666.666667
"MKD",812313606666.667
"VUT",0
"NZL",1419134826666.67
"NIC",0
"NER",15391143066.6667
"NGA",2.58182e+11
"NOR",1.156976e+12
"PAK",85794106833333.3
"PAN",0
"CZE",16338723333333.3
"PNG",0
"PRY",3995359213333.33
"PER",643538686133.333
"PHL",0
"POL",3.9207258e+13
"PRT",256077800000
"GNB",0
"TLS",0
"ERI",8.35e+10
"QAT",284679333.333333
"ZWE",717462060000
"ROU",30197196066666.7
"RWA",46962281533.3333
"RUS",263198986946000
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",1856281820000
"SEN",0
"SYC",0
"SLE",0
"SVN",503716533333.333
"SVK",6.763166e+12
"SGP",0
"SOM",3497436466.66667
"ZAF",6582254900000
"ESP",25327565133333.3
"SUR",0
"TJK",2822170853333.33
"SWZ",2352551266.66667
"SWE",10820375333333.3
"CHE",1589150846666.67
"SYR",8779050588400
"TKM",5012058675800
"TWN",18738513333.3333
"TZA",234539253333.333
"THA",4412730066.66667
"TGO",0
"TON",0
"TTO",0
"OMN",11157826666.6667
"TUN",4.1082e+12
"TUR",6.3627e+13
"ARE",0
"UGA",82386666666.6667
"TUV",0
"GBR",44389713333333.3
"UKR",95152068733333.3
"USA",163796305400000
"BFA",0
"URY",2716867333333.33
"UZB",20302815693333.3
"VEN",2276377000
"VNM",0
"ETH",17822216597733.3
"YEM",395602960000
"COD",31254205866.6667
"ZMB",611612138266.667
"BEL",5870651200000
"LUX",256957333333.333
"SRB",9853506121333.33
"MNE",7545705733.33333
"SDN",2275183506666.67
"SSD",0
"PSE",114856966533.333
