"iso3","R0"
"ARM",172566666666.667
"AFG",2.44154e+12
"ALB",169226666666.667
"DZA",16428346666666.7
"ATG",0
"ARG",7938066666666.67
"AUS",1.019702e+13
"AUT",445826679318.749
"BHS",0
"BHR",91293333333.3333
"BRB",0
"BGD",5793786666666.67
"BMU",0
"BTN",0
"BOL",759293333333.333
"BWA",0
"BRA",5.6613e+12
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",1735329311418.56
"MMR",319526666666.667
"BDI",0
"CMR",1.67e+10
"CAN",16828033333333.3
"CPV",0
"CAF",0
"LKA",863946666666.667
"TCD",0
"CHL",810506666666.667
"CHN",4.8529532e+14
"COL",1645506666666.67
"COM",0
"COG",0
"COK",0
"CRI",326206666666.667
"CUB",0
"CYP",8090948018.86732
"AZE",1.12224e+12
"BEN",0
"DNK",1187547680625.61
"DMA",0
"DOM",5.177e+11
"BLR",1.84368e+12
"ECU",6.513e+11
"EGY",13469106666666.7
"SLV",2.7722e+11
"GNQ",0
"EST",224995061069.087
"FRO",0
"FJI",61233333333.3333
"FIN",213055461835.767
"FRA",10022943708013
"PYF",0
"DJI",0
"GEO",543306666666.667
"GAB",0
"GMB",0
"DEU",6202933164175.87
"BIH",4.7428e+11
"GHA",1067686666666.67
"KIR",0
"GRC",291233110129.448
"GRL",0
"GRD",0
"GTM",578933333333.333
"GIN",318413333333.333
"GUY",2.338e+10
"HTI",105766666666.667
"HND",94633333333.3333
"HKG",0
"HUN",1470145748714.29
"HRV",247818336058.189
"ISL",0
"IND",8.016e+13
"IDN",5175886666666.67
"IRN",1.581824e+13
"IRQ",3347793333333.33
"IRL",149215006168.034
"ISR",1615446666666.67
"ITA",1933531075616.31
"CIV",0
"KAZ",4040286666666.67
"JAM",0
"JPN",3695153333333.33
"JOR",1497433333333.33
"KGZ",452013333333.333
"KEN",1.31262e+12
"KHM",0
"PRK",0
"KOR",5519906666666.67
"KWT",0
"LVA",690703904412.74
"LAO",0
"LBN",3.5404e+11
"LSO",0
"LBR",0
"LBY",5.01e+11
"LTU",1197953317554.27
"MAC",0
"MDG",0
"MWI",24493333333.3333
"MYS",1260293333333.33
"MDV",0
"MLI",114673333333.333
"MLT",0
"MRT",174793333333.333
"MUS",7.348e+10
"MEX",1.29926e+12
"MNG",0
"MAR",7607406666666.67
"MOZ",518813333333.333
"MDA",371853333333.333
"NAM",3.006e+10
"NPL",0
"NLD",280253305187.147
"ANT",0
"NCL",0
"MKD",0
"VUT",0
"NZL",866173333333.333
"NIC",1.0688e+11
"NER",0
"NGA",1896006666666.67
"NOR",1081046666666.67
"PAK",9.54906e+12
"PAN",2.672e+10
"CZE",1365731122702.13
"PNG",222666666666.667
"PRY",2.25784e+12
"PER",1.19906e+12
"PHL",6.97058e+12
"POL",3272567791179.19
"PRT",21330085578.9901
"GNB",0
"TLS",0
"ERI",0
"QAT",0
"ZWE",201513333333.333
"ROU",2545851432728.56
"RWA",112446666666.667
"RUS",33061546666666.7
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",8721853333333.33
"SEN",256066666666.667
"SYC",0
"SLE",0
"SVN",42067303812.8007
"SVK",564469191471.553
"SGP",371853333333.333
"SOM",0
"ZAF",1535286666666.67
"ESP",2117256934113.24
"SUR",0
"TJK",1478506666666.67
"SWZ",0
"SWE",903617530671.294
"CHE",382986666666.667
"SYR",5.93184e+12
"TKM",1818073333333.33
"TWN",695833333333.333
"TZA",458693333333.333
"THA",2125353333333.33
"TGO",7.682e+10
"TON",0
"TTO",12246666666.6667
"OMN",8.4168e+11
"TUN",2580706666666.67
"TUR",11617633333333.3
"ARE",1764633333333.33
"UGA",1.67e+11
"TUV",0
"GBR",3735296449113.64
"UKR",9.8196e+12
"USA",77926653333333.3
"BFA",0
"URY",5.344e+11
"UZB",3.99798e+12
"VEN",767086666666.667
"VNM",2.58182e+12
"ETH",3342226666666.67
"YEM",1.53306e+12
"COD",149186666666.667
"ZMB",87953333333.3333
"BEL",490222705899.214
"LUX",21500301080.1149
"SRB",1495206666666.67
"MNE",0
"SDN",1528606666666.67
"SSD",0
"PSE",0
