"","ARM","AFG","ALB","DZA","ATG","ARG","AUS","AUT","BHS","BHR","BRB","BGD","BMU","BTN","BOL","BWA","BRA","ARB","BLZ","SLB","BRN","BGR","MMR","BDI","CMR","CAN","CPV","CAF","LKA","TCD","CHL","CHN","COL","COM","COG","COK","CRI","CUB","CYP","AZE","BEN","DNK","DMA","DOM","BLR","ECU","EGY","SLV","GNQ","EST","FRO","FJI","FIN","FRA","PYF","DJI","GEO","GAB","GMB","DEU","BIH","GHA","KIR","GRC","GRL","GRD","GTM","GIN","GUY","HTI","HND","HKG","HUN","HRV","ISL","IND","IDN","IRN","IRQ","IRL","ISR","ITA","CIV","KAZ","JAM","JPN","JOR","KGZ","KEN","KHM","PRK","KOR","KWT","LVA","LAO","LBN","LSO","LBR","LBY","LTU","MAC","MDG","MWI","MYS","MDV","MLI","MLT","MRT","MUS","MEX","MNG","MAR","MOZ","MDA","NAM","NPL","NLD","ANT","NCL","MKD","VUT","NZL","NIC","NER","NGA","NOR","PAK","PAN","CZE","PNG","PRY","PER","PHL","POL","PRT","GNB","TLS","ERI","QAT","ZWE","ROU","RWA","RUS","KNA","LCA","VCT","STP","SAU","SEN","SYC","SLE","SVN","SVK","SGP","SOM","ZAF","ESP","SUR","TJK","SWZ","SWE","CHE","SYR","TKM","TWN","TZA","THA","TGO","TON","TTO","OMN","TUN","TUR","ARE","UGA","TUV","GBR","UKR","USA","BFA","URY","UZB","VEN","VNM","ETH","YEM","COD","ZMB","BEL","LUX","SRB","MNE","SDN","SSD","PSE"
"ARM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46973700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97113600,0,0,4433559450,0,0,24040350,0,0,0,0,0,0,0,0,0,0,0,0,535050,0,0,0,0,195403150,0,0,11070000,55350,0,2721000,0,0,0,0,0,0,0,0,0,6371700,0,24554250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011695750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24900,0,0,0,0,0,0,0,0,0,0,0,2926200,0,0,3139650,5332050,267891150,0,0,959400,0,0,0,0,0,0,74947350,0,0,0,0,0,0
"AFG",0,0,0,0,0,0,0,4206600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41555950,0,0,18450,0,0,184500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11475900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55350,0,0,0,0,0,0,202950,221400,0,0,0,0,0,0,0,0,0,0,3948300,34720100,0,0,0,0,12974800,0,0,10719450,0,0,0,0,0,0,1715850,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,36900,0,0,0,0,0,0,0,0,0,0,0,0,0,427892400,0,0,0,21363600,0,0,0,0,0,0,1678950,0,0,0,0,0,71733600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118375200,0,0,0,0,0,20313450,160412400,0,0,913293450,0,0,0,0,0,0,0,0,0,236054400,0,0,0,0,0,0,0,381619800,0,0,0,0,0,0,0,0,0,0,0,0,0,18874350,0,0,0,0,0,0,0,0,0,0,7767450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113246100,22675050,0,0,0,0,0,2764843200,183500,0,0,0,0,0,69546500,53744850,0,0,0,34593750,0,0,0,83744550,0,0,0,0,20571750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662281200,0,141672800,0,0,0,0,0,0,0,0,0,0,0,286989750,245903700,0,0,0
"DZA",0,0,0,0,0,0,0,0,0,11881800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11900375550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18450,0,0,0,0,0,0,305294050,0,0,0,0,1069133500,0,0,0,0,0,0,0,0,0,0,0,0,0,12195450,0,0,0,0,0,0,18450,0,0,39999600,0,0,0,355273200,0,0,0,0,55350,0,0,0,319849200,0,0,0,0,0,53412750,0,657281250,0,0,10405800,840563550,10295100,0,0,210200850,147600000,0,0,0,525434300,0,0,0,0,0,0,75280577400,0,0,0,0,0,0,0,0,107415900,0,0,0,0,0,36770850,0,0,0,0,0,0,0,0,88855200,36567900,0,0,0,0,0,0,50922000,4213883700,108024750,0,0,45165500,2695600,0,0,0,0,0,80552700,0,0,177876450,295366050,68135600,5929400,0,0,935200,0,44991700,3640000,0,0,0,0,0,0,0,0,21129050,0,0,0,0,0,0
"ATG",0,0,0,0,0,0,0,0,0,0,571950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27785700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5945e+10,0,0,0,0,0,0,110200,0,0,0,0,0,0,33400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014750,0,0,0,10867050,0,0,0,0,0,0,0,0,0,0,0,0,332000,0,0,0,0,0,0,0,3819150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49350,0,0,0,0,0,0,0
"ARG",0,0,0,394175945000,0,0,2785950,0,0,0,0,1379525210000,0,0,1381884536000,0,17504623013550,0,0,0,0,0,0,0,0,133762500,0,0,0,0,2216363696500,0,50313150,0,0,0,134297550,0,0,0,0,0,0,0,0,414410544700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.006e+10,0,0,0,0,0,119343210000,0,0,0,0,0,0,0,0,4798441060000,0,0,0,278078400,0,0,0,0,0,0,0,1480358140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922912140000,0,0,0,0,0,0,0,0,0,0,0,0,338283550000,0,0,59298300,0,0,27802510550,589792964800,178524670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249526250,0,0,0,0,0,0,0,0,110407040000,1119537940000,0,0,0,0,0,0,0,493685567000,0,0,0,23089154600,0,93247762300,0,4681040000,584196060000,464176500000,0,0,0,0,0,0,0,0,0,0
"AUS",0,0,0,0,0,3974600,0,682650,0,272994062100,0,806196347850,0,0,0,0,0,0,0,45534683200,45100300,0,1030016469300,39313470000,0,2715637050,0,0,1045326040700,0,301714650,8418618826150,3690000,0,0,3089100,9225000,0,0,0,0,0,0,0,0,0,1023169774750,0,0,0,0,561229628150,0,29298600,7233251150,0,0,0,0,13523850,0,0,127795100,0,0,0,0,0,0,0,0,11103518000,0,0,0,326416450,9841246815800,0,0,92250,1094926950,775909572500,0,0,0,3385576775650,0,0,926465755950,11416750,0,3669139045400,1450226593400,0,3359630050,5311888250,0,0,0,0,1383750,53952690000,189127500000,2685109494300,2472300,0,348907950,0,807779500,0,0,0,474746932000,0,0,15534900,71509350,0,92421500250,0,2366383350,1645417973150,0,0,192517600000,0,439034400,9227700,0,860497343800,457950,0,4524486781350,0,0,0,3949100,0,175145377850,0,0,71018754000,1051650,0,0,0,0,924518676550,0,148024350,0,0,0,371991360400,0,985604567450,0,0,0,0,0,166050,0,0,565381457250,336955682900,2360915985850,0,111475000,0,257111214950,0,209746600,672014086600,205434048000,11568150,27434276850,0,4199113100,0,2186550,0,0,6646333781650,0,2223445181000,0,3.006e+10,202358650,0,0,0,377546252000,0,0
"AUT",1140150,36900,20149950,0,0,0,274291850,0,36900,0,0,0,0,0,18450,0,599500,0,0,0,0,16729627250,0,0,0,270355850,18450,0,18450,0,8226300,89399800,55350,0,40113400,0,0,0,7584936650,55186600,0,746130650,0,0,325773600,36900,36900,0,0,42030200,0,0,421088000,68132297600,0,0,336701800,0,0,734824873650,2096083300,55350,0,14996552250,0,0,0,0,18450,0,0,51497150,71619327100,56624854600,5295150,12450,9040500,32388100,18450,330045050,137648900,1699683892650,0,544230700,18450,102727700,627300,14414800,4667850,0,0,110600,166050,307399800,0,29971450,0,0,36457200,3015064800,0,442800,0,137643000,161616000,0,75969650,0,0,55350,875850,6217650,0,23957300,147600,0,41176847200,0,0,7097750900,0,49342950,0,0,38284800,2651174550,18450,0,110743825100,18450,0,30165750,26160000,41720049600,62723850,0,0,0,313650,0,33925125900,0,1372287050,0,0,0,0,18450,0,18450,0,71915001800,25557547050,32056850,0,229585250,5299552650,0,0,0,716018850,253771034550,0,7011000,5703250,0,165150,91750,0,0,73050,55350,103961500,120765700,0,0,43435950750,754416100,98546450,0,6531300,1346850,0,45033900,0,0,0,0,25173345700,3526012150,28071823750,568710950,0,0,0
"BHS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",0,793350,0,0,182000,0,15368148900,0,109200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4022100,0,0,184500,0,0,22988700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184500,0,0,0,0,0,0,0,0,0,0,0,0,184500,0,0,0,546000,0,0,0,0,0,0,0,192247750,0,0,0,0,73300,0,666746100,0,0,0,23044050,0,1402200,0,3905994150,0,297174150,0,0,18450,3022376450,0,0,706358250,0,1175250,53744850,0,0,0,0,2208852450,0,0,1186250,0,0,0,0,0,874530000,0,0,0,236600,0,0,0,457500,3005837100,0,0,0,0,0,400650,0,0,0,0,1140671250,36900,0,0,0,0,0,0,0,0,0,0,0,0,0,61473374900,14870700,14280300,0,0,0,275347800,0,11991263850,0,0,0,4501800,0,18450,0,0,1267312050,39630600,53984700,0,0,0,5572732550,0,36650,17274161900,0,36900,54600,0,132462750,0,0,0,0,0,0,467927900,0,166714200,0,0,0,0,18350,0,1659171600
