"From","To","virtual_water_km3"
"Brazil","China",316.532294283093
"United States of America","China",183.403662951292
"United States of America","Mexico",88.7068444718682
"United States of America","Japan",62.3322279650809
"Australia","China",49.3380107222984
"Russian Federation","Egypt",48.2148492554711
"Russian Federation","Turkey",47.7362248379661
"Canada","China",43.4201727173146
"Argentina","Brazil",42.9892572880397
"Brazil","Iran (Islamic Republic of)",40.031623887149
