"WF_Crop","Water_Type","Total_Virtual_Water_km3","Mean_Intensity_L_per_kg","Trade_Volume_Mt","year"
"Groundnut","Blue_Irrigated",0.00121989242426444,310.756070161474,0.00323440944240944,1998
"Groundnut","Green_Irrigated",0.000529684876507458,115.000548766084,0.00323440944240944,1998
"Groundnut","Green_Rainfed",0.00340918388867715,1315.46363957704,0.00323440944240944,1998
"Maize","Blue_Irrigated",0.00594275786960929,133.32768554728,0.0729846172595521,1998
"Maize","Green_Irrigated",0.00359644201899446,118.955019037149,0.0729846172595521,1998
"Maize","Green_Rainfed",0.0503332202414621,1359.88498822157,0.0729846172595521,1998
"Pulses","Blue_Irrigated",0.000699582245296286,721.594687397273,0.00208185948838893,1998
"Pulses","Green_Irrigated",0.000240615241464916,256.018914953145,0.00208185948838893,1998
"Pulses","Green_Rainfed",0.00574317999189519,2808.1528044935,0.00208185948838893,1998
"Rapeseed","Blue_Irrigated",0.00169737664070652,78.5805128708721,0.0285237161438409,1998
"Rapeseed","Green_Irrigated",0.000636567517171047,40.7301685562748,0.0285237161438409,1998
"Rapeseed","Green_Rainfed",0.0530443109866612,1707.44539568489,0.0285237161438409,1998
"Rice","Blue_Irrigated",0.00470102478163716,312.572631635543,0.0073735559284116,1998
"Rice","Green_Irrigated",0.0026895132620689,172.267354849143,0.0073735559284116,1998
"Rice","Green_Rainfed",0.0028063028359546,539.973641001492,0.0073735559284116,1998
"Soyabean","Blue_Irrigated",0.00923656209033116,136.722339008606,0.0892601438392383,1998
"Soyabean","Green_Irrigated",0.00842618128531471,92.1288950425148,0.0892601438392383,1998
"Soyabean","Green_Rainfed",0.152065416804388,1485.093757191,0.0892601438392383,1998
"Sugar","Blue_Irrigated",5.54516487140015e-06,13.3320742286156,0.0008937109375,1998
"Sugar","Green_Irrigated",2.91270131776434e-06,8.15305371017297,0.0008937109375,1998
"Sugar","Green_Rainfed",6.34144868284201e-05,58.2626130277905,0.0008937109375,1998
"Sunflower","Blue_Irrigated",0.000290417886598728,150.38010540248,0.00426051795078662,1998
"Sunflower","Green_Irrigated",0.00016267384746395,54.9261959490007,0.00426051795078662,1998
"Sunflower","Green_Rainfed",0.00768571953223834,1660.07909123112,0.00426051795078662,1998
"Temperate Cereals","Blue_Irrigated",0.00553494381335036,83.5957616557726,0.0758201747221864,1998
"Temperate Cereals","Green_Irrigated",0.00242035750919568,38.3961690386581,0.0758201747221864,1998
"Temperate Cereals","Green_Rainfed",0.0863470658939969,934.301456854527,0.0758201747221864,1998
"Temperate Roots","Blue_Irrigated",0.000153299958092233,31.1551639185645,0.00601387327993447,1998
"Temperate Roots","Green_Irrigated",5.17383437672433e-05,13.7889276033191,0.00601387327993447,1998
"Temperate Roots","Green_Rainfed",0.000634118489012606,254.027575217995,0.00601387327993447,1998
"Tropical Cereals","Blue_Irrigated",0.00457081169535789,180.495588021642,0.0178140484627406,1998
"Tropical Cereals","Green_Irrigated",0.00238733055870951,79.7195398386153,0.0178140484627406,1998
"Tropical Cereals","Green_Rainfed",0.0205328429853692,1343.80124807297,0.0178140484627406,1998
"Tropical Roots","Blue_Irrigated",2.90867055319564e-05,57.3854931830812,0.000373799479166666,1998
"Tropical Roots","Green_Irrigated",1.03104528441272e-05,21.4290113406276,0.000373799479166666,1998
"Tropical Roots","Green_Rainfed",0.000114341117344039,349.975817820388,0.000373799479166666,1998
"Groundnut","Blue_Irrigated",0.00130600692382262,305.81167999825,0.00429012298769462,2018
"Groundnut","Green_Irrigated",0.000823312205238098,173.632465828298,0.00429012298769462,2018
"Groundnut","Green_Rainfed",0.00470792802355409,1573.78665831336,0.00429012298769462,2018
"Maize","Blue_Irrigated",0.00201975597446581,113.433225339636,0.0810701533950111,2018
"Maize","Green_Irrigated",0.00188593663116538,132.145234497907,0.0810701533950111,2018
"Maize","Green_Rainfed",0.0547541748727943,975.939038418847,0.0810701533950111,2018
"Pulses","Blue_Irrigated",0.00069259564372409,671.829088682586,0.00247428816325654,2018
"Pulses","Green_Irrigated",0.000264704830035204,370.177635310399,0.00247428816325654,2018
"Pulses","Green_Rainfed",0.00573735939592363,3520.98502398487,0.00247428816325654,2018
