"WF_Crop","Water_Type","n_nodes_early","n_edges_early","total_volume_km3_early","density_early","reciprocity_early","transitivity_early","mean_degree_early","centralization_early","clustering_coef_early","avg_path_length_early","n_nodes_late","n_edges_late","total_volume_km3_late","density_late","reciprocity_late","transitivity_late","mean_degree_late","centralization_late","clustering_coef_late","avg_path_length_late"
"Pulses","Green_Rainfed",189,10243,63.313,0.288,0.28,0.361,NA,3.229,0.361,2.106,1.58730158730159,125.129356633799,112.147584224409,118.402777777778,25.7142857142857,26.8698060941828,NA,13.50263239393,26.8698060941828,-8.83190883190883
"Rapeseed","Green_Rainfed",91,1223,69.329,0.149,0.334,0.36,NA,1.141,0.36,2.214,41.7582417582418,159.607522485691,21.3691240317905,28.8590604026846,39.2215568862275,10.5555555555556,NA,16.2138475021911,10.5555555555556,-0.542005420054201
"Rice","Green_Rainfed",141,785,2.509,0.04,0.176,0.162,NA,0.492,0.162,3.343,27.6595744680851,156.433121019108,225.866879234755,55,-12.5,33.3333333333333,NA,22.5609756097561,33.3333333333333,-8.94406221956326
"Soyabean","Green_Rainfed",150,1774,287.556,0.079,0.223,0.271,NA,1.038,0.271,2.614,22.6666666666667,163.58511837655,144.823616965043,75.9493670886076,31.390134529148,25.0922509225092,NA,14.1618497109827,25.0922509225092,-11.4001530221882
"Sugar","Green_Rainfed",71,211,0.016,0.042,0.038,0.105,NA,0.261,0.105,2.261,60.5633802816901,257.81990521327,1075,40.4761904761905,-2.63157894736842,51.4285714285714,NA,21.0727969348659,51.4285714285714,25.9177355152587
"Sunflower","Green_Rainfed",146,2272,19.053,0.107,0.268,0.322,NA,0.996,0.322,2.433,17.1232876712329,159.286971830986,74.6968981262793,89.7196261682243,25.3731343283582,21.7391304347826,NA,19.4779116465863,21.7391304347826,-14.5910398684751
"Temperate Cereals","Green_Rainfed",182,7126,644.926,0.216,0.267,0.306,NA,2.321,0.306,2.276,3.84615384615385,132.739264664608,100.476643832006,116.203703703704,49.438202247191,36.9281045751634,NA,57.1736320551486,36.9281045751634,-5.4920913884007
"Temperate Roots","Green_Rainfed",194,4499,3.088,0.12,0.227,0.321,NA,1.642,0.321,2.598,-0.515463917525773,92.9095354523227,131.120466321243,95,42.2907488986784,14.6417445482866,NA,39.646772228989,14.6417445482866,-14.7036181678214
"Tropical Cereals","Green_Rainfed",158,1810,39.403,0.073,0.12,0.201,NA,1.09,0.201,3.07,6.9620253164557,150.497237569061,46.6335050630663,119.178082191781,56.6666666666667,49.2537313432836,NA,38.2568807339449,49.2537313432836,-17.7198697068404
"Tropical Roots","Green_Rainfed",108,603,0.088,0.052,0.033,0.209,NA,0.287,0.209,3.413,64.8148148148148,460.530679933665,494.318181818182,105.769230769231,209.090909090909,25.8373205741627,NA,266.202090592335,25.8373205741627,-20.3047172575447
