"From","To","virtual_water_km3"
"United States of America","Japan",130.349772727148
"United States of America","Mexico",95.2191559190864
"United States of America","Egypt",43.4668544562128
"United States of America","Republic of Korea",43.1887084870272
"Brazil","Netherlands",38.603435206486
"Australia","Japan",29.9845343439393
"Argentina","Brazil",27.7695569693307
"United States of America","China",27.2564166986246
"United States of America","Netherlands",26.9239476449742
"Canada","United States of America",25.7629489430848
