"WF_Crop","n_traders","n_connections","total_volume_Mt","avg_trade_size_Mt"
"Sugar",145,657,382.72543,0.251297065003284
"Rapeseed",152,1172,116477.85769,33.8992600960419
"Rice",185,1459,13372.81755,3.98119010122066
"Tropical Roots",188,1694,4137.90254,0.688732113848196
"Tropical Cereals",175,1781,34456.05881,5.17824749173424
"Groundnut",190,1917,15298.0527142857,2.84509070379128
"Soyabean",190,2130,750780.11652,129.11094007223
"Sunflower",183,2435,30508.46987,3.91887859601804
"Temperate Roots",193,2901,70033.42126,7.4046755402835
"Temperate Cereals",192,3487,1138403.07439,61.4423075555919
"Maize",193,3513,847290.96667,77.6191797975436
"Pulses",193,4838,59165.14146,2.2088083872172
