"year","Water_Type","WF_Crop","imports_km3","exports_km3","net_trade_km3"
2020,"Green_Rainfed","Soyabean",103.25476122168,0.0558011378212118,103.198960083859
2019,"Green_Rainfed","Soyabean",98.4248421247296,0.0844403693368271,98.3404017553927
2016,"Green_Rainfed","Soyabean",89.8414836784014,0.114541699802184,89.7269419785992
2018,"Green_Rainfed","Soyabean",87.5023771065903,0.114144400835152,87.3882327057551
2017,"Green_Rainfed","Soyabean",86.6048507177435,0.0882806055320631,86.5165701122114
2020,"Green_Rainfed","Temperate Cereals",25.6915024587719,2.20550185568876e-05,25.6914804037534
2018,"Green_Rainfed","Temperate Cereals",20.1869515579153,0.00184762941392217,20.1851039285014
2017,"Green_Rainfed","Temperate Cereals",14.1902777699922,0.002268924375055,14.1880088456172
2019,"Green_Rainfed","Temperate Cereals",11.6390551342819,0.00209843948562291,11.6369566947963
2016,"Green_Rainfed","Temperate Cereals",10.4723749364075,0.00232539049051801,10.470049545917
2020,"Green_Rainfed","Tropical Cereals",10.0861348434323,0.00790906888917019,10.0782257745431
2017,"Green_Rainfed","Tropical Cereals",7.5337430671465,0.00794679538079437,7.52579627176571
2016,"Green_Rainfed","Tropical Cereals",7.07359395742954,0.0116428943045301,7.06195106312501
2020,"Green_Rainfed","Maize",6.98759100597882,0.000378020233476918,6.98721298574535
2016,"Green_Irrigated","Soyabean",4.96836901174304,0.0503862909672891,4.91798272077575
2018,"Green_Rainfed","Tropical Cereals",4.76314374197912,0.00745367731079562,4.75569006466832
2020,"Green_Irrigated","Soyabean",4.4358802677338,0.0224755827083676,4.41340468502543
2017,"Green_Irrigated","Soyabean",4.00314643903442,0.0384506624169672,3.96469577661746
2020,"Blue_Irrigated","Soyabean",3.83880401693238,0.0278150725296454,3.81098894440274
2019,"Green_Irrigated","Soyabean",3.64474054378762,0.0347432451435903,3.60999729864403
2018,"Green_Rainfed","Rapeseed",3.49736829929713,3.38953797896399e-05,3.49733440391734
2016,"Blue_Irrigated","Soyabean",3.51384496207492,0.0586014402159116,3.45524352185901
2020,"Green_Rainfed","Pulses",3.99714049529444,0.614242533387915,3.38289796190652
2020,"Green_Rainfed","Rapeseed",3.31489017241573,3.79443650732894e-05,3.31485222805066
2017,"Green_Rainfed","Rapeseed",3.20035706981679,2.2181744919823e-05,3.20033488807187
2017,"Blue_Irrigated","Soyabean",3.06319665711249,0.0476855548162988,3.01551110229619
2019,"Blue_Irrigated","Soyabean",3.03489649052694,0.0445149117108005,2.99038157881614
2018,"Green_Rainfed","Pulses",3.49116535861814,0.807140309444695,2.68402504917345
2016,"Green_Rainfed","Rapeseed",2.45961546058823,0.000319545285459207,2.45929591530277
2019,"Green_Rainfed","Maize",2.37730853418612,0.0038306153366229,2.3734779188495
2019,"Green_Rainfed","Pulses",3.05195716126126,0.703028879033577,2.34892828222768
2020,"Blue_Irrigated","Tropical Cereals",2.35125016519135,0.00359270303657488,2.34765746215477
2019,"Green_Rainfed","Rapeseed",1.95995411818132,1.66516279426746e-05,1.95993746655337
2017,"Blue_Irrigated","Tropical Cereals",1.90332260629956,0.0037607429630528,1.89956186333651
2016,"Green_Rainfed","Maize",1.8325478460383,0.000525851250418453,1.83202199478788
2020,"Green_Irrigated","Tropical Cereals",1.82367809704514,0.00219697680104103,1.8214811202441
2016,"Blue_Irrigated","Tropical Cereals",1.71912344912009,0.00523055342094462,1.71389289569914
2019,"Green_Rainfed","Tropical Cereals",1.64708636978304,0.00861187191647552,1.63847449786657
