"WF_Crop","Water_Type","Period","Current_Volume_km3","Previous_Volume_km3","Mean_Intensity","Trade_Volume_Mt","Difference_Factor"
"Groundnut","Blue_Irrigated","Early",0.00121989242426444,NA,310.756070161474,0.00323440944240944,NA
"Groundnut","Blue_Irrigated","Late",0.00130600692382262,0.00121989242426444,305.81167999825,0.00429012298769462,1.07059187994392
"Groundnut","Green_Irrigated","Early",0.000529684876507458,NA,115.000548766084,0.00323440944240944,NA
"Groundnut","Green_Irrigated","Late",0.000823312205238098,0.000529684876507458,173.632465828298,0.00429012298769462,1.55434342522049
"Groundnut","Green_Rainfed","Early",0.00340918388867715,NA,1315.46363957704,0.00323440944240944,NA
"Groundnut","Green_Rainfed","Late",0.00470792802355409,0.00340918388867715,1573.78665831336,0.00429012298769462,1.38095455607145
"Maize","Blue_Irrigated","Early",0.00594275786960929,NA,133.32768554728,0.0729846172595521,NA
"Maize","Blue_Irrigated","Late",0.00201975597446581,0.00594275786960929,113.433225339636,0.0810701533950111,0.339868461542856
"Maize","Green_Irrigated","Early",0.00359644201899446,NA,118.955019037149,0.0729846172595521,NA
"Maize","Green_Irrigated","Late",0.00188593663116538,0.00359644201899446,132.145234497907,0.0810701533950111,0.524389555345224
"Maize","Green_Rainfed","Early",0.0503332202414621,NA,1359.88498822157,0.0729846172595521,NA
"Maize","Green_Rainfed","Late",0.0547541748727943,0.0503332202414621,975.939038418847,0.0810701533950111,1.08783373307179
"Pulses","Blue_Irrigated","Early",0.000699582245296286,NA,721.594687397273,0.00208185948838893,NA
"Pulses","Blue_Irrigated","Late",0.00069259564372409,0.000699582245296286,671.829088682586,0.00247428816325654,0.990013180552864
"Pulses","Green_Irrigated","Early",0.000240615241464916,NA,256.018914953145,0.00208185948838893,NA
"Pulses","Green_Irrigated","Late",0.000264704830035204,0.000240615241464916,370.177635310399,0.00247428816325654,1.10011663610179
"Pulses","Green_Rainfed","Early",0.00574317999189519,NA,2808.1528044935,0.00208185948838893,NA
"Pulses","Green_Rainfed","Late",0.00573735939592363,0.00574317999189519,3520.98502398487,0.00247428816325654,0.998986520363323
"Rapeseed","Blue_Irrigated","Early",0.00169737664070652,NA,78.5805128708721,0.0285237161438409,NA
"Rapeseed","Blue_Irrigated","Late",0.000724939396506927,0.00169737664070652,73.0166917108556,0.0356051952446907,0.427094010322409
"Rapeseed","Green_Irrigated","Early",0.000636567517171047,NA,40.7301685562748,0.0285237161438409,NA
"Rapeseed","Green_Irrigated","Late",0.00033850163577886,0.000636567517171047,54.0363826670471,0.0356051952446907,0.531760774227353
"Rapeseed","Green_Rainfed","Early",0.0530443109866612,NA,1707.44539568489,0.0285237161438409,NA
"Rapeseed","Green_Rainfed","Late",0.0258983639833774,0.0530443109866612,583.41223892468,0.0356051952446907,0.488240180740399
"Rice","Blue_Irrigated","Early",0.00470102478163716,NA,312.572631635543,0.0073735559284116,NA
"Rice","Blue_Irrigated","Late",0.00293909459557511,0.00470102478163716,256.064049555686,0.00620425912093014,0.625202957247877
"Rice","Green_Irrigated","Early",0.0026895132620689,NA,172.267354849143,0.0073735559284116,NA
"Rice","Green_Irrigated","Late",0.00236019334829272,0.0026895132620689,178.508650332527,0.00620425912093014,0.8775540844432
"Rice","Green_Rainfed","Early",0.0028063028359546,NA,539.973641001492,0.0073735559284116,NA
"Rice","Green_Rainfed","Late",0.00380295426984016,0.0028063028359546,589.983963880014,0.00620425912093014,1.35514749909253
"Soyabean","Blue_Irrigated","Early",0.00923656209033116,NA,136.722339008606,0.0892601438392383,NA
"Soyabean","Blue_Irrigated","Late",0.00603996663690282,0.00923656209033116,352.34511334975,0.156760954449809,0.653919345513355
"Soyabean","Green_Irrigated","Early",0.00842618128531471,NA,92.1288950425148,0.0892601438392383,NA
"Soyabean","Green_Irrigated","Late",0.0076290744618645,0.00842618128531471,185.920223211467,0.156760954449809,0.90540117801175
"Soyabean","Green_Rainfed","Early",0.152065416804388,NA,1485.093757191,0.0892601438392383,NA
"Soyabean","Green_Rainfed","Late",0.147838079145193,0.152065416804388,770.844012039142,0.156760954449809,0.972200532191794
"Sugar","Blue_Irrigated","Early",5.54516487140015e-06,NA,13.3320742286156,0.0008937109375,NA
"Sugar","Blue_Irrigated","Late",8.7909450293367e-06,5.54516487140015e-06,24.1968008007311,0.000453675504469985,1.58533519439197
"Sugar","Green_Irrigated","Early",2.91270131776434e-06,NA,8.15305371017297,0.0008937109375,NA
"Sugar","Green_Irrigated","Late",1.06654070633308e-05,2.91270131776434e-06,16.0350630145092,0.000453675504469985,3.66168923613394
"Sugar","Green_Rainfed","Early",6.34144868284201e-05,NA,58.2626130277905,0.0008937109375,NA
"Sugar","Green_Rainfed","Late",0.000240434008164952,6.34144868284201e-05,88.5600597668933,0.000453675504469985,3.79146816744716
"Sunflower","Blue_Irrigated","Early",0.000290417886598728,NA,150.38010540248,0.00426051795078662,NA
"Sunflower","Blue_Irrigated","Late",0.000283310046084713,0.000290417886598728,287.817899361072,0.00484603366349411,0.975525472630973
"Sunflower","Green_Irrigated","Early",0.00016267384746395,NA,54.9261959490007,0.00426051795078662,NA
"Sunflower","Green_Irrigated","Late",0.000188981009416842,0.00016267384746395,130.384800892529,0.00484603366349411,1.16171721738322
"Sunflower","Green_Rainfed","Early",0.00768571953223834,NA,1660.07909123112,0.00426051795078662,NA
"Sunflower","Green_Rainfed","Late",0.00536933734888015,0.00768571953223834,1983.57166264882,0.00484603366349411,0.698612189315269
"Temperate Cereals","Blue_Irrigated","Early",0.00553494381335036,NA,83.5957616557726,0.0758201747221864,NA
"Temperate Cereals","Blue_Irrigated","Late",0.00323663715364487,0.00553494381335036,101.580554884798,0.0662509240103648,0.584764229374481
"Temperate Cereals","Green_Irrigated","Early",0.00242035750919568,NA,38.3961690386581,0.0758201747221864,NA
