"year","Water_Type","WF_Crop","imports_km3","exports_km3","net_trade_km3"
2000,"Green_Rainfed","Soyabean",15.9179237555022,0.167253265956533,15.7506704895457
1996,"Green_Rainfed","Temperate Cereals",11.4057976440425,0.000315886805476108,11.4054817572371
1999,"Green_Rainfed","Rapeseed",4.75929467082535,6.40826749293262e-05,4.75923058815042
2000,"Green_Rainfed","Rapeseed",4.73352497532722,0.000427092649839827,4.73309788267738
1998,"Green_Rainfed","Soyabean",4.69357815768832,0.138172467173311,4.55540569051501
1999,"Green_Rainfed","Soyabean",4.26715588483887,0.173127534996351,4.09402834984252
2000,"Green_Rainfed","Temperate Cereals",3.86270845258826,0.000909917171602818,3.86179853541666
1998,"Green_Rainfed","Rapeseed",3.81136816935,0.000546856276369949,3.81082131307363
2000,"Green_Rainfed","Maize",0.000543439182954155,3.77064249988506,-3.7700990607021
1998,"Green_Rainfed","Temperate Cereals",3.15749200232699,0.00394565821589938,3.1535463441111
2000,"Blue_Irrigated","Maize",0.00031621709296729,2.97682345726239,-2.97650724016942
1997,"Green_Rainfed","Soyabean",3.06306641498338,0.157264866901351,2.90580154808203
1996,"Green_Rainfed","Soyabean",3.03472043896875,0.182263131473676,2.85245730749507
1997,"Green_Rainfed","Maize",0.000224227477388731,2.40496047377585,-2.40473624629846
1997,"Green_Rainfed","Temperate Cereals",2.24749414143203,0.00185600493556734,2.24563813649646
1999,"Green_Rainfed","Temperate Cereals",2.06432670180512,0.00184144781669902,2.06248525398842
1997,"Blue_Irrigated","Maize",2.60339461166251e-05,1.7002140422043,-1.70018800825818
1999,"Green_Rainfed","Maize",0.0668743415465467,1.24363228974468,-1.17675794819814
2000,"Green_Irrigated","Maize",0.000108573357020561,1.10201508007823,-1.10190650672121
1998,"Green_Rainfed","Maize",0.26866047021053,1.35291764057293,-1.0842571703624
1998,"Blue_Irrigated","Maize",0.0325750829832882,1.05455814873059,-1.0219830657473
1999,"Blue_Irrigated","Maize",0.00889801795413093,1.00829864104041,-0.999400623086275
1999,"Green_Rainfed","Pulses",0.0551372882095243,1.02872348962705,-0.973586201417529
1997,"Green_Rainfed","Rapeseed",0.926579603326961,1.81872904344051e-06,0.926577784597918
1997,"Green_Irrigated","Maize",1.46980408863468e-05,0.839836689316979,-0.839821991276093
2000,"Blue_Irrigated","Soyabean",0.789342187273158,0.0684626650831636,0.720879522189995
1997,"Green_Rainfed","Pulses",0.296720465309467,1.00338066773659,-0.706660202427123
2000,"Green_Irrigated","Soyabean",0.733993681690549,0.0328840506174682,0.701109631073081
1996,"Blue_Irrigated","Temperate Cereals",0.64385185944777,0.000423519114384117,0.643428340333386
1998,"Green_Rainfed","Pulses",0.0792588781429373,0.690708096410111,-0.611449218267174
2000,"Green_Rainfed","Pulses",0.188149096678081,0.785397140605578,-0.597248043927497
1999,"Blue_Irrigated","Pulses",0.00122241689785624,0.443227985864831,-0.442005568966974
1998,"Green_Irrigated","Maize",0.0225322944724154,0.461937084912313,-0.439404790439898
1999,"Green_Irrigated","Maize",0.00612162547285449,0.4409167735279,-0.434795148055046
1997,"Blue_Irrigated","Pulses",0.00729760817629955,0.397444212350859,-0.39014660417456
2000,"Blue_Irrigated","Pulses",0.00266480113483536,0.34462075802361,-0.341955956888774
1998,"Blue_Irrigated","Pulses",0.00134860970810268,0.284942538822186,-0.283593929114084
1996,"Blue_Irrigated","Pulses",0.0265564104182344,0.306804844993148,-0.280248434574914
1996,"Green_Irrigated","Temperate Cereals",0.275632079451169,0.000207654547695576,0.275424424903474
1999,"Green_Irrigated","Soyabean",0.281998532019038,0.0407763278333593,0.241222204185678
1999,"Green_Irrigated","Pulses",0.000817637469454777,0.237556293420744,-0.236738655951289
1996,"Blue_Irrigated","Groundnut",1.40049016174978e-06,0.235523123179988,-0.235521722689826
1997,"Green_Irrigated","Pulses",0.00186985490904831,0.235869885814399,-0.23400003090535
2000,"Blue_Irrigated","Rapeseed",0.218637156530342,0.000545854631208362,0.218091301899133
1996,"Green_Irrigated","Soyabean",0.252138761937093,0.0411525509132999,0.210986211023793
1999,"Blue_Irrigated","Rapeseed",0.207291394098159,8.22268507659906e-05,0.207209167247393
1999,"Blue_Irrigated","Soyabean",0.275923251814552,0.0739718784488063,0.201951373365745
1996,"Blue_Irrigated","Soyabean",0.27376560235225,0.0729373171320628,0.200828285220188
2000,"Blue_Irrigated","Groundnut",7.58429781923731e-05,0.194814886314987,-0.194739043336795
1999,"Blue_Irrigated","Groundnut",0.000191166924182377,0.189565959016848,-0.189374792092666
1997,"Blue_Irrigated","Soyabean",0.242281247181138,0.0596917596570866,0.182589487524052
1997,"Green_Irrigated","Soyabean",0.219145153037654,0.0370862993229347,0.18205885371472
2000,"Blue_Irrigated","Temperate Cereals",0.1718658916684,0.00127973865079545,0.170586153017604
1998,"Blue_Irrigated","Soyabean",0.222029429574963,0.0561618952920038,0.16586753428296
1996,"Green_Irrigated","Pulses",0.00578505384372093,0.165763106451747,-0.159978052608026
2000,"Green_Irrigated","Pulses",0.000938858277168954,0.158160654625794,-0.157221796348625
1998,"Green_Irrigated","Pulses",0.00136940122828212,0.158481136152767,-0.157111734924485
1996,"Green_Rainfed","Groundnut",2.64140465526238e-05,0.150759066954462,-0.150732652907909
1998,"Green_Irrigated","Soyabean",0.175487200304891,0.0318081414311028,0.143679058873788
1996,"Green_Irrigated","Groundnut",2.41649500852424e-07,0.130598342403161,-0.13059810075366
1998,"Blue_Irrigated","Temperate Cereals",0.12904415247592,0.00536599888289134,0.123678153593029
2000,"Green_Rainfed","Groundnut",0.000161280521503318,0.118456475529576,-0.118295195008072
1998,"Blue_Irrigated","Rapeseed",0.117933080691705,0.000654865630391,0.117278215061314
1999,"Green_Rainfed","Groundnut",0.000198825391741609,0.11554750016808,-0.115348674776338
1999,"Blue_Irrigated","Temperate Cereals",0.110383395450227,0.00254142039059401,0.107841975059633
1999,"Green_Irrigated","Groundnut",0.000121204674571103,0.104953767405868,-0.104832562731297
1998,"Blue_Irrigated","Groundnut",0.000106653934536718,0.101501198898365,-0.101394544963829
