"From","To","virtual_water_km3"
"Brazil","China",319.042356049314
"United States of America","China",204.644990445757
"United States of America","Mexico",101.265744697555
"United States of America","Japan",69.649845622835
"Australia","China",51.5940631211902
"Russian Federation","Egypt",48.6952269020492
"Russian Federation","Turkey",48.2043745721672
"Canada","China",43.7669280763042
"Argentina","Brazil",43.5483273521708
"Brazil","Iran (Islamic Republic of)",40.3712045002972
