"ISO3","Year","Crop","WaterFootprint_liters_per_year","Production_kg","WF_L_per_kg"
"AFG",1990,"Soya beans",1077664429.92958,NA,NA
"AFG",1990,"Sugar Crops Primary",892262110.023929,NA,NA
"AFG",1990,"Sunflower seed",8220404847.48616,29413800,279.474425184307
"AFG",1991,"Groundnuts, excluding shelled",967073327.707175,NA,NA
"AFG",1991,"Maize (corn)",583714125150.728,671680000,869.036036729883
"AFG",1991,"Pulses, Total",202784072959.448,NA,NA
"AFG",1991,"Rape or colza seed",20843366143.4941,NA,NA
"AFG",1991,"Rice",797107550135.675,NA,NA
"AFG",1991,"Soya beans",1168775837.11895,NA,NA
"AFG",1991,"Sugar Crops Primary",1153376206.91058,NA,NA
"AFG",1991,"Sunflower seed",9139384337.2114,28891300,316.33690201588
"AFG",1992,"Groundnuts, excluding shelled",953068127.090913,NA,NA
"AFG",1992,"Maize (corn)",496469033348.979,501500000,989.968162211325
"AFG",1992,"Pulses, Total",164148691778.295,NA,NA
"AFG",1992,"Rape or colza seed",16148861449.6514,NA,NA
"AFG",1992,"Rice",678366731002.74,NA,NA
"AFG",1992,"Soya beans",887730474.265003,NA,NA
"AFG",1992,"Sugar Crops Primary",718206340.836095,NA,NA
"AFG",1992,"Sunflower seed",7317909803.54231,28847400,253.676581027833
"AFG",1993,"Groundnuts, excluding shelled",964285810.062378,NA,NA
"AFG",1993,"Maize (corn)",454564364773.356,751678600,604.732348071844
"AFG",1993,"Pulses, Total",146864923175.458,NA,NA
"AFG",1993,"Rape or colza seed",14200356938.5383,NA,NA
"AFG",1993,"Rice",618301274703.406,NA,NA
"AFG",1993,"Soya beans",913034147.694775,NA,NA
"AFG",1993,"Sugar Crops Primary",726882886.342829,NA,NA
"AFG",1993,"Sunflower seed",6712510797.30629,28513950,235.411466924305
"AFG",1994,"Groundnuts, excluding shelled",928115338.608855,NA,NA
"AFG",1994,"Maize (corn)",472379269905.188,801666700,589.246466025329
"AFG",1994,"Pulses, Total",150146794660.234,NA,NA
"AFG",1994,"Rape or colza seed",14098530813.1145,NA,NA
"AFG",1994,"Rice",643334577085.594,NA,NA
"AFG",1994,"Soya beans",879550196.603542,NA,NA
"AFG",1994,"Sugar Crops Primary",746420610.25525,NA,NA
"AFG",1994,"Sunflower seed",6601952518.63588,27703500,238.307524992722
"AFG",1995,"Groundnuts, excluding shelled",951398482.955999,NA,NA
"AFG",1995,"Maize (corn)",469079005545.075,851656300,550.784401577344
"AFG",1995,"Pulses, Total",160487221719.802,NA,NA
"AFG",1995,"Rape or colza seed",16790848059.1954,NA,NA
"AFG",1995,"Rice",637783264668.467,NA,NA
"AFG",1995,"Soya beans",972286032.833247,NA,NA
"AFG",1995,"Sugar Crops Primary",960713443.676499,NA,NA
"AFG",1995,"Sunflower seed",7593410139.11003,23200000,327.302161168536
"AFG",1996,"Groundnuts, excluding shelled",889254265.202271,NA,NA
"AFG",1996,"Maize (corn)",484363952703.548,581636400,832.760729389612
"AFG",1996,"Pulses, Total",160489576035.891,NA,NA
"AFG",1996,"Rape or colza seed",15855007210.9368,NA,NA
"AFG",1996,"Rice",659986250602.909,NA,NA
"AFG",1996,"Soya beans",922461955.523787,NA,NA
"AFG",1996,"Sugar Crops Primary",820920340.48059,NA,NA
"AFG",1996,"Sunflower seed",7163843692.67114,24192300,296.120819131341
"AFG",1997,"Groundnuts, excluding shelled",900365513.754075,NA,NA
"AFG",1997,"Maize (corn)",459553514476.606,501500000,916.357955087948
"AFG",1997,"Pulses, Total",154687556848.318,NA,NA
"AFG",1997,"Rape or colza seed",15635618003.2895,NA,NA
"AFG",1997,"Rice",627985714649.382,NA,NA
"AFG",1997,"Soya beans",871156871.966295,NA,NA
"AFG",1997,"Sugar Crops Primary",766260063.621055,NA,NA
"AFG",1997,"Sunflower seed",7062401080.26286,26717400,264.337139102714
"AFG",1998,"Groundnuts, excluding shelled",879749826.061847,NA,NA
"AFG",1998,"Maize (corn)",508092901357.897,531650000,955.690588465902
"AFG",1998,"Pulses, Total",159461754853.413,NA,NA
"AFG",1998,"Rape or colza seed",14916852902.1076,NA,NA
"AFG",1998,"Rice",690116804147.994,NA,NA
"AFG",1998,"Soya beans",993337136.327844,NA,NA
"AFG",1998,"Sugar Crops Primary",1072755560.51098,NA,NA
"AFG",1998,"Sunflower seed",6911690839.32391,29405400,235.048353000602
"AFG",1999,"Groundnuts, excluding shelled",855744659.773528,NA,NA
"AFG",1999,"Maize (corn)",519856796639.759,401500000,1294.78654206665
"AFG",1999,"Pulses, Total",169192321839.448,NA,NA
"AFG",1999,"Rape or colza seed",16364418270.5952,NA,NA
"AFG",1999,"Rice",708154961190.943,NA,NA
"AFG",1999,"Soya beans",1048012271.8836,NA,NA
"AFG",1999,"Sugar Crops Primary",1046281828.71198,NA,NA
"AFG",1999,"Sunflower seed",7416172606.60123,28200090,262.984004895063
"AFG",2000,"Groundnuts, excluding shelled",862996097.746232,NA,NA
"AFG",2000,"Maize (corn)",530316550255.596,212197900,2499.16021909546
"AFG",2000,"Pulses, Total",189062027797.244,NA,NA
"AFG",2000,"Rape or colza seed",20040692345.3185,NA,NA
"AFG",2000,"Rice",722673022648.709,NA,NA
"AFG",2000,"Soya beans",1148382857.22961,NA,NA
"AFG",2000,"Sugar Crops Primary",1137766393.01655,NA,NA
"AFG",2000,"Sunflower seed",8722093484.72286,27759770,314.199054413018
"AFG",2001,"Groundnuts, excluding shelled",828852750.668,NA,NA
"AFG",2001,"Maize (corn)",573461480906.87,2.42e+08,2369.67554093748
"AFG",2001,"Pulses, Total",196269565016.956,NA,NA
"AFG",2001,"Rape or colza seed",19648365988.4044,NA,NA
"AFG",2001,"Rice",780865735675.857,NA,NA
"AFG",2001,"Soya beans",1172009940.6268,NA,NA
