Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bosnia and Herzegovina,BIH,-0.528393328,-0.404944122,-0.019179042,-0.404167622,-0.402664006,-0.351470172,-0.400912255,-0.424830645,-0.447489053,-0.421767116,-0.43937102
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Botswana,BWA,1.074352503,1.102347016,1.011847138,1.031368256,0.979198039,1.009294391,0.958273768,1.095207453,1.013090372,1.041259646,1.077516079
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Brazil,BRA,0.184101626,-0.258553296,-0.070290133,-0.331864446,-0.38103506,-0.480093956,-0.459640145,-0.714393616,-0.445607245,-0.41969654,-0.3314659
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Brunei Darussalam,BRN,1.302023292,1.074022293,1.261507034,1.233712554,1.142017841,1.153425217,1.235813618,1.110963702,1.187998414,1.171651721,1.257367969
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Bulgaria,BGR,0.377964616,0.170710385,0.078540899,0.010424642,0.068279371,0.321378797,0.444267064,0.561198294,0.40158087,0.364647597,0.24625206
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Burkina Faso,BFA,0.059820332,-0.763390124,-0.787128568,-0.609127343,-0.868710697,-0.927885592,-1.060256481,-1.30215323,-1.537941337,-1.642869711,-1.782517433
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Burundi,BDI,-2.014070749,-1.350277543,-0.784407139,-1.937446117,-1.964375138,-2.002573967,-1.570218563,-1.624993443,-1.542314768,-1.258357525,-1.188869476
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cabo Verde,CPV,1.223599792,0.777999878,0.350779146,0.855819821,0.87119019,0.762864292,0.833078504,0.859521031,0.874160886,0.894233108,0.929428399
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cambodia,KHM,-0.77603066,-0.136436149,0.023174802,0.063348144,0.20619081,0.093508989,0.110811263,-0.075531386,-0.209088624,-0.131573156,-0.036172446
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cameroon,CMR,-0.564015806,-0.532237291,-1.059252381,-0.989914,-1.061213017,-1.091504693,-1.401759028,-1.561764836,-1.513643622,-1.394035697,-1.352949023
